Species,qAddress,Latitude,Longitude
Shamel Ash: Evergreen Ash,681 FULTON ST,37.77807921,-122.4281112
Edible Loquat,2745 Larkin St,37.80325939,-122.4216588
Edible Loquat,1427x Innes Ave,37.73820204,-122.3866847
Silver Maple,1351X Broadway,37.7961505,-122.4196885
Shamel Ash: Evergreen Ash,200 Noe St,37.76570829,-122.4333384
Edible Loquat,3125 Jennings St,37.72028502,-122.3946663
English laurel,1174 Goettingen St,37.7175436,-122.4027494
Japanese Privet,767 44th Ave,37.77407863,-122.5047996
Shamel Ash: Evergreen Ash,201 Harbor Rd,37.73300308,-122.379074
Shamel Ash: Evergreen Ash,1003 WEBSTER ST,37.7802608,-122.4304987
Shamel Ash: Evergreen Ash,1160 Webster St,37.78130402,-122.4303684
Edible Loquat,195 Rome St,37.71579296,-122.4461968
Shamel Ash: Evergreen Ash,1710X Webster St,37.78709663,-122.4317446
Shamel Ash: Evergreen Ash,646 16th Ave,37.77588741,-122.4746772
Silver Maple,1351X Broadway,37.79613832,-122.4198073
Shamel Ash: Evergreen Ash,1615 Webster St,37.78549238,-122.4315618
Silver Maple,850 Valencia St,37.75928083,-122.4214697
Shamel Ash: Evergreen Ash,848 Webster St,37.7783993,-122.4297782
Shamel Ash: Evergreen Ash,1101 Page St,37.77190838,-122.4391039
Edible Loquat,137 20th Ave,37.78533149,-122.4798272
Silver Maple,1351X Broadway,37.79617916,-122.4194954
Shamel Ash: Evergreen Ash,1661 Green St,37.79722716,-122.4263763
Shamel Ash: Evergreen Ash,1400 Shrader St,37.76221868,-122.4506533
Edible Loquat,195 Rome St,37.71576892,-122.4462307
Edible Loquat,1838 Alabama St,37.74397453,-122.4104578
Shamel Ash: Evergreen Ash,20 Liberty St,37.75771508,-122.4218
Edible Loquat,1519 Pacific Ave,37.79513904,-122.4201975
Japanese Privet,31 HIDALGO TER,37.76696074,-122.4259774
Edible Loquat,979 Le Conte Ave,37.71800483,-122.3961657
Shamel Ash: Evergreen Ash,500X Masonic Ave,37.77654951,-122.4464005
Japanese Privet,2256 Hyde St,37.80179656,-122.4194954
Shamel Ash: Evergreen Ash,1631 Webster St,37.78564259,-122.431592
Shamel Ash: Evergreen Ash,501 Junipero Serra Blvd,37.72938759,-122.4717386
Shamel Ash: Evergreen Ash,1200 San Bruno Ave,37.75331097,-122.4044912
Shamel Ash: Evergreen Ash,1310 Indiana St,37.75362619,-122.3912732
Shamel Ash: Evergreen Ash,1 25th St,37.75304331,-122.3909749
Japanese Privet,90 Bay View St,37.73285918,-122.3943364
Edible Loquat,2400 Golden Gate Ave,37.77729448,-122.4506213
Shamel Ash: Evergreen Ash,1710X Webster St,37.78709663,-122.4317446
Shamel Ash: Evergreen Ash,701 Masonic Ave,37.77467612,-122.4463549
English laurel,1998 Jefferson St,37.80454441,-122.4452343
Japanese Privet,508 Stockton St,37.79050722,-122.407103
Japanese Privet,649 Hamilton St,37.72307166,-122.4081994
Shamel Ash: Evergreen Ash,1211 Masonic Ave,37.77007544,-122.4454631
Silver Maple,1245 Bacon St,37.72451945,-122.4152873
Shamel Ash: Evergreen Ash,780 Webster St,37.77781308,-122.4296707
Silver Maple,660 Mississippi St,37.757827,-122.3942432
Shamel Ash: Evergreen Ash,154 Coleridge St,37.74342736,-122.4199637
Honey Locust 'Shademaster',2882 23rd St,37.75441629,-122.4099874
Shamel Ash: Evergreen Ash,1630X Webster St,37.78568432,-122.4312546
Shamel Ash: Evergreen Ash,198 Noe St,37.76601255,-122.4333627
Edible Loquat,499X Ogden Ave,37.73594119,-122.4137831
Shamel Ash: Evergreen Ash,730 11th Ave,37.77448101,-122.4691091
Spruce Spp,1151 Pacheco St,37.75057784,-122.472726
English laurel,177 Grand View Ave,37.75539718,-122.4401777
Shamel Ash: Evergreen Ash,50 Hudson Ave,37.7324282,-122.3790771
Shamel Ash: Evergreen Ash,1160 Masonic Ave,37.77040347,-122.4452767
Spruce Spp,2000 16th Ave,37.75048948,-122.4729186
Japanese Privet,240 07th St,37.7773024,-122.4087041
Edible Loquat,251 De Long St,37.70958681,-122.4634047
Shamel Ash: Evergreen Ash,455 Alabama St,37.76358121,-122.4121403
Shamel Ash: Evergreen Ash,718 Cole St,37.76805912,-122.4503406
Japanese Privet,22 Robblee Ave,37.73585664,-122.3988743
Edible Loquat,3623 Irving St,37.76261725,-122.4968887
Shamel Ash: Evergreen Ash,701X Masonic Ave,37.77483198,-122.4463633
Japanese Privet,145 Coso Ave,37.74556783,-122.4166909
Edible Loquat,378 Victoria St,37.71756221,-122.4652643
Shamel Ash: Evergreen Ash,856 Webster St,37.77847311,-122.429793
Japanese Privet,410 Valley St,37.74427767,-122.4315292
Silver Maple,15 Hearst Ave,37.73067308,-122.4392072
Japanese Privet,2730 Lyon St,37.79609654,-122.4468564
Shamel Ash: Evergreen Ash,500 Illinois St,37.76485118,-122.3880947
Shamel Ash: Evergreen Ash,1401 WEBSTER ST,37.78382895,-122.4312125
Edible Loquat,345 Arguello Blvd,37.78406321,-122.4592858
Shamel Ash: Evergreen Ash,676 Pine St,37.7913885,-122.4071649
Japanese Privet,2399 Lane St,37.72743662,-122.3938452
Shamel Ash: Evergreen Ash,765 Lakeview Ave,37.71817743,-122.461357
Japanese Privet,500 Funston Ave,37.77859851,-122.4715483
Shamel Ash: Evergreen Ash,1401 WEBSTER ST,37.78298607,-122.4310412
Shamel Ash: Evergreen Ash,900 Waller St,37.77012,-122.4390598
Shamel Ash: Evergreen Ash,1401 WEBSTER ST,37.78369473,-122.4311928
Shamel Ash: Evergreen Ash,1167 Masonic Ave,37.77045267,-122.4455545
Silver Maple,1401X Broadway,37.79600862,-122.4213022
Silver Maple,425 14th St,37.76804401,-122.4228608
Shamel Ash: Evergreen Ash,701X Masonic Ave,37.77483198,-122.4463633
Japanese Privet,524 15th Ave,37.77810526,-122.4737118
Edible Loquat,1525 Florida St,37.74774388,-122.4095173
Edible Loquat,2301 19th St,37.76070131,-122.4054082
Spruce Spp,1151 Pacheco St,37.75057881,-122.4726642
Shamel Ash: Evergreen Ash,1415 Eddy St,37.78154663,-122.4309416
Shamel Ash: Evergreen Ash,1280 WEBSTER ST,37.7821391,-122.4305267
English laurel,300x Winding Way,37.70921817,-122.4363421
Silver Maple,1401X Broadway,37.79605874,-122.4207897
Japanese Privet,125 Goettingen St,37.73010902,-122.4078174
Shamel Ash: Evergreen Ash,1730 Webster St,37.78689839,-122.4315224
Shamel Ash: Evergreen Ash,646 16th Ave,37.77592666,-122.4746823
Shamel Ash: Evergreen Ash,281 Noe St,37.76487408,-122.433059
Shamel Ash: Evergreen Ash,1370 WEBSTER ST,37.78317097,-122.4307501
Japanese Privet,566 Bush St,37.79050716,-122.4066515
Shamel Ash: Evergreen Ash,101 Baker St,37.77193459,-122.4406863
Silver Maple,268 07th St,37.77707417,-122.4084186
Edible Loquat,300 Greenwich St,37.80288599,-122.4050624
Edible Loquat,35 Tomaso Ct,37.70918752,-122.4099396
Shamel Ash: Evergreen Ash,701X Masonic Ave,37.77483198,-122.4463633
Shamel Ash: Evergreen Ash,703 Webster St,37.77697357,-122.4297925
Shamel Ash: Evergreen Ash,1407 Eddy St,37.78144125,-122.4309319
Silver Maple,2485X California St,37.78866356,-122.4352013
Shamel Ash: Evergreen Ash,190 Coleridge St,37.74300232,-122.4202345
Shamel Ash: Evergreen Ash,1401 WEBSTER ST,37.78250703,-122.4309521
Shamel Ash: Evergreen Ash,911 WEBSTER ST,37.77901517,-122.4302482
Edible Loquat,126 Brighton Ave,37.72059236,-122.4550195
Edible Loquat,245 Kalmanovitz St,37.72678917,-122.3972288
Edible Loquat,916 Ortega St,37.75258338,-122.4735823
Shamel Ash: Evergreen Ash,185X Noe St,37.76614167,-122.4331375
Edible Loquat,1100 San Jose Ave,37.73700475,-122.4262628
Shamel Ash: Evergreen Ash,500 Illinois St,37.7653474,-122.3881379
Shamel Ash: Evergreen Ash,101 Baker St,37.77187551,-122.4406698
Shamel Ash: Evergreen Ash,1620 Webster St,37.78559018,-122.4312356
Silver Maple,1401X Broadway,37.79605477,-122.4208644
Edible Loquat,94 MacOndray Ln,37.79910271,-122.41623
Shamel Ash: Evergreen Ash,900 Waller St,37.77017332,-122.4386609
Edible Loquat,179 Niagara Ave,37.71761754,-122.444361
Edible Loquat,916 Ortega St,37.7525907,-122.4735042
Shamel Ash: Evergreen Ash,21 Beaver St,37.76494713,-122.4340789
Japanese Privet,3223 Webster St,37.80046841,-122.4345662
Shamel Ash: Evergreen Ash,708 Cole St,37.76840157,-122.4504073
Japanese Privet,586 Bush St,37.79048751,-122.4067916
Shamel Ash: Evergreen Ash,1140 Webster St,37.78093514,-122.430306
Shamel Ash: Evergreen Ash,1242 Church St,37.75101841,-122.4274868
Shamel Ash: Evergreen Ash,1219X Masonic Ave,37.7699948,-122.4453504
Shamel Ash: Evergreen Ash,201 Noe St,37.7658428,-122.4331669
Spruce Spp,281 Tocoloma Ave,37.71163154,-122.398021
Shamel Ash: Evergreen Ash,500 Illinois St,37.7651176,-122.3881221
Shamel Ash: Evergreen Ash,229 Coleridge St,37.74246296,-122.4204342
Shamel Ash: Evergreen Ash,44 Liberty St,37.75771465,-122.4221597
