Species,TreeAge
Spruce Spp,51.51540041067762
English laurel,51.28268309377139
Shamel Ash: Evergreen Ash,40.8952772073922
Silver Maple,39.89733059548254
Edible Loquat,39.49897330595483
Japanese Privet,37.927446954141004
Honey Locust 'Shademaster',37.74948665297741
